34200.008088354,4,3098726,2,9389000,-1
34200.008118683,4,6909142,1,9389200,-1
34200.008121495,4,2999890,20,9391000,-1
34200.008136107,1,6927670,5,9374300,1
34200.008137727,1,6927674,73,9361100,1
34200.008138777,1,6927678,1,9370700,1
34200.008142019,1,6927686,5,9374500,1
34200.008261446,5,0,2,9394500,1
34200.008295227,3,6927674,73,9361100,1
34200.009720082,4,6927686,1,9374500,1
34200.009771323,3,6927670,5,9374300,1
34200.009771541,3,6927678,1,9370700,1
34200.009772802,1,6928462,1,9389300,-1
34200.009777664,3,6927686,4,9374500,1
34200.010724125,3,6928462,1,9389300,-1
34200.010724125,1,6929370,1,9389400,-1
34200.010773103,4,6929370,1,9389400,-1
34200.010773103,5,0,16,9394500,1
34200.010910221,1,6929634,73,9361100,1
34200.010917584,1,6929650,5,9374500,1
34200.010920233,1,6929658,1,9369100,1
34200.011041165,3,6929634,73,9361100,1
34200.011417982,4,6929650,1,9374500,1
34200.011458827,3,6929650,4,9374500,1
34200.011469571,3,6929658,1,9369100,1
34200.012416401,1,6932658,1,9389600,-1
34200.012968176,4,6932658,1,9389600,-1
34200.012968176,5,0,1,9394500,1
34200.013034593,1,6933502,5,9374500,1
34200.013038032,1,6933514,1,9369100,1
34200.013126816,4,6933502,1,9374500,1
34200.013184665,3,6933514,1,9369100,1
34200.013194449,3,6933502,4,9374500,1
34200.01397142,5,0,1,9394500,1
34200.014038757,1,6934542,1,9369100,1
34200.014049026,1,6934570,5,9374500,1
34200.014606344,1,6935294,1,9389800,-1
34200.014661341,3,6934542,1,9369100,1
34200.01466735,3,6934570,5,9374500,1
34200.014835908,3,6761518,1,9354900,1
34200.014835908,1,6935658,1,9368600,1
34200.01568829,3,6935658,1,9368600,1
34200.01568829,1,6936686,1,9355700,1
34200.016498423,3,6936686,1,9355700,1
34200.016498423,1,6937370,1,9360100,1
34200.017391005,3,6937370,1,9360100,1
34200.017391005,1,6938366,1,9355700,1
34200.026144021,1,6947330,100,9396800,-1
34200.040957484,1,6959526,116,9361000,1
34200.041708348,1,6960382,47,9353500,1
34200.064405294,3,6960382,47,9353500,1
34200.065105338,1,6975230,65,9356900,1
34200.073705192,5,0,8,9365700,1
34200.073757837,1,6979714,1,9384700,-1
34200.0811847,3,6935294,1,9389800,-1
34200.0811847,1,6981802,1,9389900,-1
34200.081794914,1,6982174,3,9375100,1
34200.081874098,3,6979714,1,9384700,-1
34200.081951063,3,6982174,3,9375100,1
34200.092537272,3,6947330,100,9396800,-1
34200.097967359,3,6975230,65,9356900,1
34200.09864216,1,6988350,46,9353700,1
34200.101321166,4,6981802,1,9389900,-1
34200.101364889,1,6989350,73,9361100,1
34200.101369442,1,6989354,1,9365100,1
34200.101373164,1,6989358,5,9370400,1
34200.101489203,3,6989350,73,9361100,1
34200.10299106,1,6989974,1,9390000,-1
34200.103023268,3,6989354,1,9365100,1
34200.10302542,3,6989358,5,9370400,1
34200.106843363,1,6991526,30,9404200,-1
34200.110274344,3,6989974,1,9390000,-1
34200.110274344,1,6992570,1,9375700,-1
34200.111143707,3,6992570,1,9375700,-1
34200.111143707,1,6992810,1,9390000,-1
34200.111662017,4,6992810,1,9390000,-1
34200.111710384,1,6992902,5,9370500,1
34200.111711682,1,6992906,73,9361100,1
34200.11171456,1,6992910,1,9365200,1
34200.11180892,3,6992906,73,9361100,1
34200.112292025,1,6993150,3,9371300,1
34200.113402392,1,6993606,1,9390200,-1
34200.11365651,1,6993622,1,9364700,1
34200.113659353,3,6992902,5,9370500,1
34200.113661029,3,6992910,1,9365200,1
34200.113727289,3,6993150,3,9371300,1
34200.115286224,3,6993622,1,9364700,1
34200.115286224,1,6994318,1,9358600,1
34200.115628006,1,6994398,25,9403500,-1
34200.115952303,4,6993606,1,9390200,-1
34200.115952303,5,0,19,9394500,1
34200.115999895,1,6994534,5,9375000,1
34200.116034684,1,6994542,1,9369700,1
34200.117588501,5,0,17,9394500,1
34200.117617169,1,6995150,1,9390300,-1
34200.11764996,3,6994534,5,9375000,1
34200.1176503,3,6994542,1,9369700,1
34200.117820274,3,6994878,1,9356200,1
34200.117820274,1,6995222,1,9369100,1
34200.118625594,3,6995222,1,9369100,1
34200.118625594,1,6995578,1,9369000,1
34200.119426984,3,6995578,1,9369000,1
34200.119426984,1,6995878,1,9356200,1
34200.1202249,3,6995878,1,9356200,1
34200.1202249,1,6996138,1,9361100,1
34200.121821329,3,6996138,1,9361100,1
34200.121821329,1,6996546,1,9356200,1
34200.12252056,1,6996650,3,9375600,1
34200.122843047,3,6995150,1,9390300,-1
34200.122843047,1,6996746,1,9390400,-1
34200.12367451,3,6996650,3,9375600,1
34200.124150543,3,6996546,1,9356200,1
34200.124150543,1,6997170,1,9369700,1
